ID,Age,Gender,Persona,Feature,Sessions_per_week,DAU_7d,Retention_30d,Feature_Adoption,Satisfaction
211,42,F,Working_Adult,BP_Log,3,2,0.812,0.591,5
212,69,M,Multi_Morbidity,Edu_Content,9,7,0.981,0.405,4
213,48,F,Working_Adult,Edu_Content,3,3,0.663,0.348,2
214,39,F,Working_Adult,Edu_Content,4,3,0.773,0.404,5
215,59,F,Senior,BP_Log,7,6,0.933,0.68,5
216,33,M,Working_Adult,BP_Log,3,3,0.746,0.837,3
217,51,F,Multi_Morbidity,Refill_Reminder,2,1,0.574,0.299,3
218,37,F,Working_Adult,Reminder,1,0,0.669,0.471,5
219,66,F,Senior,BP_Log,4,4,0.83,0.719,3
220,53,F,Senior,Reminder,8,7,0.942,0.647,5
221,69,M,Senior,BP_Log,6,6,0.898,0.463,4
222,64,F,Senior,Reminder,7,6,0.924,0.821,4
223,71,M,Multi_Morbidity,Symptom_Diary,5,5,0.714,0.37,4
224,47,F,Working_Adult,Reminder,2,1,0.486,0.503,4
225,31,M,Working_Adult,Reminder,4,4,0.76,0.535,3
226,68,F,Senior,Edu_Content,5,5,0.886,0.414,3
227,60,M,Senior,Reminder,3,3,0.879,0.496,4
228,53,F,Multi_Morbidity,Edu_Content,4,4,0.885,0.439,5
229,34,F,Working_Adult,Symptom_Diary,1,1,0.465,0.352,3
230,36,F,Working_Adult,Reminder,2,2,0.551,0.651,4
231,49,F,Multi_Morbidity,Reminder,6,5,0.927,0.659,5
232,71,F,Senior,Edu_Content,5,4,0.899,0.396,5
233,72,M,Senior,Reminder,2,1,0.615,0.509,3
234,34,F,Working_Adult,Edu_Content,5,5,0.75,0.389,2
235,50,F,Senior,Edu_Content,3,2,0.792,0.557,4
236,40,M,Working_Adult,BP_Log,2,1,0.593,0.47,3
237,40,M,Working_Adult,Reminder,2,2,0.684,0.501,5
238,31,M,Working_Adult,Edu_Content,4,4,0.931,0.659,4
239,59,F,Senior,Symptom_Diary,7,6,0.966,0.611,4
240,53,F,Senior,Edu_Content,2,1,0.654,0.423,4
241,51,F,Working_Adult,Edu_Content,2,2,0.335,0.381,2
242,43,F,Working_Adult,Reminder,4,4,0.691,0.603,5
243,54,F,Working_Adult,Reminder,7,7,0.976,0.527,4
244,62,M,Senior,Symptom_Diary,3,2,0.866,0.447,4
245,63,F,Senior,BP_Log,4,3,0.946,0.683,3
246,54,M,Multi_Morbidity,Symptom_Diary,3,2,0.762,0.369,4
247,60,M,Senior,Refill_Reminder,6,6,0.932,0.472,3
248,60,M,Multi_Morbidity,Edu_Content,5,5,0.854,0.37,5
249,33,M,Working_Adult,Reminder,2,1,0.829,0.721,4
250,39,M,Working_Adult,Refill_Reminder,3,3,0.784,0.561,5
251,62,F,Senior,Reminder,2,2,0.556,0.575,4
252,51,F,Multi_Morbidity,Symptom_Diary,3,2,0.723,0.448,3
253,57,M,Senior,Reminder,4,3,0.901,0.464,4
254,44,M,Working_Adult,Reminder,2,2,0.771,0.555,4
255,34,F,Working_Adult,Reminder,3,3,0.676,0.532,3
256,41,M,Working_Adult,Reminder,7,7,0.913,0.606,4
257,71,M,Senior,Edu_Content,4,3,0.842,0.422,4
258,52,F,Working_Adult,Edu_Content,4,4,0.852,0.791,3
259,63,M,Senior,Reminder,6,5,0.955,0.683,4
260,27,M,Working_Adult,Reminder,1,0,0.389,0.432,3
261,44,F,Working_Adult,Edu_Content,2,2,0.628,0.321,3
262,70,M,Senior,Edu_Content,6,6,0.919,0.429,4
263,60,M,Senior,Symptom_Diary,3,2,0.922,0.565,5
264,58,F,Multi_Morbidity,BP_Log,3,2,0.681,0.624,4
265,32,M,Working_Adult,Refill_Reminder,3,3,0.68,0.554,4
266,66,M,Senior,Edu_Content,7,6,0.912,0.511,5
267,37,M,Working_Adult,Reminder,3,3,0.733,0.545,3
268,37,F,Working_Adult,Reminder,1,1,0.4,0.665,3
269,52,M,Working_Adult,Edu_Content,4,3,0.752,0.347,4
270,43,F,Working_Adult,Teleconsult,3,3,0.892,0.486,5
271,82,M,Senior,Symptom_Diary,5,4,0.926,0.6,4
272,47,F,Working_Adult,Reminder,3,3,0.82,0.584,4
273,55,F,Multi_Morbidity,BP_Log,3,2,0.716,0.609,3
274,45,M,Working_Adult,Teleconsult,3,3,0.65,0.485,4
275,64,M,Multi_Morbidity,Symptom_Diary,4,4,0.614,0.463,4
276,66,F,Senior,Teleconsult,7,7,0.943,0.397,4
277,55,F,Multi_Morbidity,Edu_Content,2,2,0.64,0.417,3
278,57,M,Senior,BP_Log,8,7,0.972,0.514,3
279,44,M,Working_Adult,Edu_Content,4,3,0.751,0.227,3
280,40,F,Working_Adult,Teleconsult,2,1,0.758,0.406,3
281,42,M,Working_Adult,Reminder,8,7,0.98,0.566,5
282,40,F,Working_Adult,Reminder,3,2,0.593,0.545,4
283,45,F,Working_Adult,Symptom_Diary,3,2,0.517,0.25,2
284,54,F,Working_Adult,Teleconsult,4,3,0.7,0.536,4
285,38,M,Working_Adult,BP_Log,7,7,0.881,0.572,3
286,65,M,Senior,Reminder,5,4,0.835,0.676,4
287,38,F,Working_Adult,Edu_Content,2,2,0.731,0.549,4
288,63,F,Senior,Reminder,1,1,0.444,0.513,3
289,66,F,Senior,Symptom_Diary,5,5,0.871,0.583,5
290,59,M,Multi_Morbidity,Teleconsult,5,4,0.844,0.538,3
291,44,M,Multi_Morbidity,Symptom_Diary,3,3,0.639,0.434,4
292,74,F,Senior,Reminder,3,3,0.795,0.594,4
293,66,M,Senior,Edu_Content,3,2,0.9,0.457,3
294,59,M,Senior,Teleconsult,3,3,0.797,0.719,4
295,49,F,Working_Adult,Reminder,3,3,0.862,0.726,4
296,34,F,Working_Adult,Reminder,5,4,0.868,0.642,4
297,33,M,Working_Adult,Edu_Content,11,7,0.962,0.498,3
298,39,M,Working_Adult,Refill_Reminder,4,3,0.857,0.642,5
299,67,M,Senior,BP_Log,4,3,0.848,0.638,3
300,32,F,Working_Adult,Reminder,4,4,0.807,0.837,5
301,40,F,Working_Adult,Edu_Content,8,7,0.858,0.237,5
302,52,M,Multi_Morbidity,Refill_Reminder,4,3,0.83,0.533,4
303,39,M,Working_Adult,Edu_Content,2,2,0.703,0.317,4
304,65,M,Senior,Refill_Reminder,4,4,0.859,0.546,4
305,68,M,Senior,Edu_Content,2,1,0.604,0.339,2
306,44,F,Multi_Morbidity,Symptom_Diary,5,4,0.852,0.394,4
307,36,M,Working_Adult,Refill_Reminder,4,3,0.853,0.506,4
308,46,M,Working_Adult,BP_Log,2,2,0.764,0.6,5
309,50,M,Multi_Morbidity,Reminder,4,3,0.805,0.454,4
310,54,F,Multi_Morbidity,Edu_Content,8,7,0.929,0.432,4
311,46,M,Working_Adult,Reminder,2,2,0.624,0.513,4
312,37,M,Working_Adult,Teleconsult,6,6,0.872,0.431,5
313,41,F,Working_Adult,Teleconsult,4,3,0.772,0.453,4
314,39,F,Working_Adult,BP_Log,3,2,0.716,0.654,4
315,55,F,Senior,Teleconsult,3,3,0.78,0.274,3
316,53,Other,Senior,Refill_Reminder,3,3,0.668,0.297,3
317,66,F,Senior,Reminder,4,3,0.838,0.509,3
318,38,F,Working_Adult,Symptom_Diary,2,2,0.486,0.495,3
319,52,F,Multi_Morbidity,Reminder,2,1,0.661,0.844,4
320,29,M,Working_Adult,Reminder,3,3,0.688,0.512,4
321,65,F,Senior,Symptom_Diary,3,3,0.621,0.248,3
322,60,M,Multi_Morbidity,Edu_Content,7,6,0.954,0.494,5
323,49,F,Working_Adult,Edu_Content,3,2,0.496,0.423,3
324,35,F,Working_Adult,Edu_Content,7,7,0.816,0.346,4
325,74,M,Senior,Reminder,4,3,0.731,0.557,3
326,32,F,Working_Adult,Edu_Content,5,5,0.895,0.389,4
327,47,F,Multi_Morbidity,BP_Log,9,7,0.981,0.807,4
328,69,M,Senior,BP_Log,8,7,0.929,0.624,4
329,44,M,Working_Adult,Refill_Reminder,5,5,0.734,0.297,4
330,36,F,Working_Adult,Reminder,2,1,0.734,0.485,4
331,61,F,Senior,BP_Log,1,1,0.62,0.678,4
332,42,M,Working_Adult,Reminder,2,1,0.672,0.531,5
333,51,Other,Multi_Morbidity,BP_Log,9,7,0.992,0.691,4
334,56,F,Senior,Edu_Content,4,3,0.768,0.491,5
335,68,F,Senior,Symptom_Diary,3,2,0.695,0.486,3
336,46,M,Working_Adult,Reminder,4,4,0.89,0.589,4
337,58,M,Senior,Reminder,3,3,0.702,0.574,4
338,64,M,Working_Adult,Edu_Content,6,5,0.928,0.645,4
339,60,M,Senior,Teleconsult,1,0,0.612,0.261,3
340,60,M,Multi_Morbidity,Edu_Content,10,7,0.938,0.51,4
341,40,F,Working_Adult,Symptom_Diary,2,1,0.826,0.333,4
342,67,F,Senior,Symptom_Diary,7,6,0.975,0.724,4
343,69,F,Senior,Refill_Reminder,5,5,0.914,0.615,5
344,51,M,Working_Adult,Symptom_Diary,1,0,0.635,0.47,5
345,65,F,Multi_Morbidity,Refill_Reminder,3,3,0.765,0.447,4
346,58,M,Senior,Refill_Reminder,5,5,0.838,0.438,4
347,34,F,Working_Adult,BP_Log,6,6,0.874,0.519,3
348,70,F,Senior,Reminder,5,5,0.866,0.571,3
349,22,M,Working_Adult,Reminder,3,3,0.737,0.6,3
350,48,M,Working_Adult,Reminder,3,2,0.838,0.497,3
351,58,M,Multi_Morbidity,Reminder,3,2,0.818,0.555,4
352,44,F,Working_Adult,Symptom_Diary,3,3,0.63,0.434,3
353,66,M,Senior,BP_Log,5,5,0.884,0.543,4
354,70,F,Senior,BP_Log,2,2,0.684,0.279,4
355,31,F,Working_Adult,Symptom_Diary,2,1,0.822,0.366,4
356,61,M,Senior,Refill_Reminder,4,4,0.727,0.283,3
357,69,M,Senior,BP_Log,6,5,0.904,0.554,5
358,70,F,Multi_Morbidity,BP_Log,4,4,0.77,0.544,3
359,61,F,Senior,Reminder,5,4,0.92,0.584,4
360,33,F,Working_Adult,BP_Log,7,7,0.879,0.62,4
361,39,F,Working_Adult,Edu_Content,3,3,0.605,0.518,3
362,51,F,Senior,Edu_Content,3,3,0.8,0.588,4
363,30,F,Working_Adult,Edu_Content,4,3,0.874,0.464,4
364,43,M,Working_Adult,Reminder,4,3,0.805,0.706,5
365,36,Other,Working_Adult,Edu_Content,6,5,0.883,0.521,5
366,34,F,Working_Adult,Reminder,7,6,0.92,0.696,5
367,57,F,Senior,BP_Log,3,2,0.87,0.665,4
368,44,M,Multi_Morbidity,Edu_Content,3,2,0.684,0.545,4
369,35,F,Working_Adult,Edu_Content,2,2,0.559,0.464,4
370,63,F,Multi_Morbidity,BP_Log,4,4,0.914,0.564,4
371,69,F,Senior,Edu_Content,4,3,0.839,0.319,3
372,62,M,Senior,Reminder,2,1,0.732,0.604,5
373,47,F,Multi_Morbidity,BP_Log,8,7,0.967,0.565,5
374,28,F,Working_Adult,Reminder,1,1,0.592,0.579,4
375,37,M,Working_Adult,Reminder,3,3,0.777,0.536,3
376,57,M,Senior,Reminder,5,5,0.964,0.48,5
377,63,M,Senior,Reminder,3,3,0.564,0.426,3
378,56,M,Senior,BP_Log,5,5,0.905,0.706,4
379,57,F,Multi_Morbidity,Reminder,6,6,0.9,0.608,4
380,61,M,Senior,Reminder,8,7,0.965,0.667,5
381,61,F,Multi_Morbidity,Reminder,5,5,0.763,0.446,4
382,47,M,Working_Adult,BP_Log,4,4,0.858,0.729,5
383,27,F,Working_Adult,Edu_Content,3,2,0.685,0.471,5
384,60,M,Senior,BP_Log,2,2,0.507,0.221,3
385,41,F,Working_Adult,Reminder,2,2,0.869,0.515,2
386,57,F,Multi_Morbidity,Refill_Reminder,3,3,0.754,0.407,4
387,45,F,Working_Adult,Reminder,3,2,0.767,0.764,4
388,33,M,Working_Adult,Reminder,3,3,0.678,0.594,5
389,73,F,Senior,Refill_Reminder,3,2,0.58,0.318,3
390,55,F,Multi_Morbidity,BP_Log,6,5,0.653,0.393,4
391,47,F,Working_Adult,Edu_Content,5,4,0.904,0.468,4
392,75,M,Senior,Reminder,5,5,0.932,0.317,4
393,55,F,Senior,Symptom_Diary,9,7,0.913,0.373,3
394,57,M,Senior,Reminder,3,2,0.852,0.545,5
395,59,M,Senior,Reminder,5,4,0.869,0.537,3
396,67,F,Senior,BP_Log,4,3,0.836,0.457,3
397,32,F,Working_Adult,BP_Log,4,3,0.855,0.567,4
398,51,F,Working_Adult,Reminder,3,3,0.726,0.447,4
399,42,M,Working_Adult,Edu_Content,5,4,0.834,0.408,3
400,66,M,Senior,Reminder,5,4,0.912,0.699,3
401,66,M,Multi_Morbidity,Reminder,4,3,0.802,0.554,4
402,44,F,Working_Adult,Reminder,3,2,0.901,0.777,5
403,45,F,Working_Adult,BP_Log,4,4,0.779,0.673,4
404,41,M,Working_Adult,BP_Log,5,5,0.899,0.43,2
405,35,M,Working_Adult,Edu_Content,3,2,0.646,0.648,4
406,65,M,Senior,Reminder,7,6,0.914,0.606,4
407,35,M,Working_Adult,Reminder,4,3,0.66,0.447,5
408,61,F,Senior,Teleconsult,8,7,0.966,0.45,3
409,45,F,Working_Adult,Reminder,3,2,0.726,0.415,3
410,27,F,Working_Adult,Edu_Content,2,1,0.758,0.42,4
411,70,F,Senior,Reminder,4,4,0.803,0.696,4
412,42,M,Working_Adult,Symptom_Diary,5,4,0.881,0.619,4
413,69,F,Senior,BP_Log,1,0,0.803,0.635,3
414,29,M,Working_Adult,Refill_Reminder,3,3,0.813,0.39,5
415,32,F,Working_Adult,BP_Log,2,2,0.689,0.657,4
416,38,M,Working_Adult,Symptom_Diary,1,1,0.687,0.49,4
417,67,F,Senior,BP_Log,3,2,0.846,0.715,4
418,58,M,Multi_Morbidity,Symptom_Diary,5,4,0.619,0.448,3
419,53,M,Senior,BP_Log,9,7,0.911,0.525,4
420,73,M,Senior,Symptom_Diary,7,6,0.97,0.355,4
421,72,M,Senior,Edu_Content,1,1,0.606,0.78,4
